Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIF-1266;Ошибка Staging CDP;Средний;Выполнено;24.10.2025;24.10.2025;"<p>Добрый день.<br />2198 casf, лог во вложении.</p>
<p>В процессе стейджинга на контур <strong>CDP</strong> джобой тянутся артефакты, которые отсутствуют в виде maven артефактов, только docker образы (отделяемое решение от ИС 1875: <strong>casf-to-pdf</strong>, <strong>casf-doc-generation</strong>).<br />Джоба завершается с ошибкой.<br />Необходимо решение, которое позволит либо не учитывать такие сервисы в ходе стейджинга, либо зафиксировать схему, по которой эти сервисы возможно будет пронести в релизе, но без стейджинга</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNIU-1305;Ошибка при деплое сервиса на dev стенд;Высокий;Закрыто;29.10.2025;24.10.2025;<p>Ошибка с паролем для ssl.keystore.password<br />Указан пароль keyStoreLT<br />Лог из k8s приложен ниже</p>;devops_support,devops_inventory_bug,devops_консультация
CRFLOMNIU-1303;Необхоима помощь с деплоем сервиса на dev стенд;Критический;Закрыто;29.10.2025;24.10.2025;<p>Необходимо помощь с деплоем микросервиса ppcf-migr-processor-rncb на dev окружение<br />Так же помощь с пользованием сервисом на dev стенде<br /><br />При самостоятельном деплое пайплайн упал с ошибкой https://sfera.inno.local/orchestration7/dashboard/PPCF/project/c4840388-f886-4c67-ac51-62c9075f551b/builds/1185303<br /><br />В кубике деплоймента нет</p>;devops_support
CRFLOMNIG-2378;На ифт не деплоится сборка;Средний;Выполнено;24.10.2025;23.10.2025;"<p>Добрый день! Провери интеграцию с библиотекой ЗОД и пытались вынести это на ИФТ. Но сборка почему-то не встает - приложение пытается стартануть, но судя по всему k8s его гасит, потому что не успевает за отведенное время, после этого просто рестартит деплой, но ситуация аналогичная. Пробовал увеливить failureThreshold в startUpProbe с 5 до 10 минут, но все равно тоже самое - гасит и перезапускает. В логах самой джобы, тоже не выводит почему не деплоится. В итоге получаем - что приложение не успевает нормально стартовать, но и никаких логово об ошибке не видно (в логах самого приложения все ок, без ошибок, просто судя по всему не успевает подняться)<br /><br />Сервис 1830 crpr-payment-enroll<br />Версия сборки 0.12.0.0<br />Ветка инвентори release/RL-T1-117277&nbsp;<br /><br /><br /></p>";devops_support,devops_консультация,devops_inventory_bug
CRFLOMNIB-3560;Ошибка при выполнении ликвибейз на Дев/ИФТ;Критический;Выполнено;23.10.2025;23.10.2025;"<p>Добрый день!<br />Локально отрабатывает через плагин Liquibase. , а на дев и ифт падает, пишет что значение больше 255<br />это может быть связано с Ликвибейз джобой которая делает раскатку<br /><br />https://sfera.inno.local/orchestration3/dashboard/ACRP/project/d42c83b0-1b46-43e1-ba9f-279ac91ed6fe/builds/1649871<br /><br />Прошу помочь разобраться&nbsp;</p>";devops_support
CRFLOMNIG2-389;ошибка orchestration - GetBuildInfo;Высокий;Закрыто;23.10.2025;23.10.2025;"<p>Падает билд релиз в 7 оркестрации.&nbsp;<br />Джоба :<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/9ac7acc0-cb69-49ac-a7d7-4f45c94ff93d/builds/1181229<br />ошибка: [2025-10-23 11:21:38.703] ? запуск джобы GRCR/CI/MICROSERVICES/grcr-osrf-integration/BuildRelease не выполнился из-за ошибки orchestration - GetBuildInfo - no build status received within the timeout period&nbsp;<br /><br />[2025-10-23 11:21:38.702] ИС &nbsp; &nbsp; &nbsp;МИКРОСЕРВИС &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;ИМЯ_ДЖОБЫ &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; СТАТУС &nbsp; &nbsp; ОШИБКА &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br />[2025-10-23 11:21:38.702] GRCR &nbsp; &nbsp;grcr-osrf-integration &nbsp; &nbsp;GRCR/CI/MICROSERVICES/grcr-osrf-integration/BuildRelease &nbsp; &nbsp;UNKNOWN &nbsp; &nbsp;orchestration - GetBuildInfo - no build status received within the timeout period<br />[2025-10-23 11:21:38.702] GRCR &nbsp; &nbsp;grcr-plan &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;GRCR/CI/MICROSERVICES/grcr-plan/BuildRelease &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;UNKNOWN &nbsp; &nbsp;orchestration - GetBuildInfo - no build status received within the timeout period</p>";devops_консультация,devops_support,devops_инфраструктура
CRFLOMNIH-5180;2200. Обновление 3722 до версии k8s 1.21;Высокий;Выполнено;23.10.2025;23.10.2025;<p>Коллеги, добрый день. Просьба прийти на встречу по поводу обновления k8s в 11:30 дион ris-2200</p>;devops_support,devops_консультация
CRFLOMNII-2629;Работа Сонара.  Проблемы. Итерация 2 ;Критический;Выполнено;23.10.2025;23.10.2025;"<p>Ранее была заявка https://sfera.inno.local/tasks/task/CRFLOMNIL-2232.<br />Появилась новая фактура. Все таки при первом прогоне Сонар не ловит не покрытие не наличие багов.<br />Для примера Будаев создал ПР https://sfera.inno.local/sourcecode/projects/PPCF/repos/ppcf-lib-directory/pulls/1588786&nbsp; и только при 2 прогоне Сонар отреагировал.<br />Это критично так как в итоге мерджат ПР что без покрытия тестами что с багами.&nbsp;<br /><br />Есть предложение от Будаева как можно убрать эту проблему:<br />Если есть возможность, разделить на две части<br />1) та часть которая отдает инфу на анализ, поставить после PipelineCI<br />2) та часть которая получает данные, поставить в самый конец, перед Post Action<br />Если нет такой возможности (разделения, но очень хочется чтоб была такая возможность), то поставить ""полное"" в теже самые места. Для увелечения лага между тестами, возможно отказаться от параллельного запуска задач проверки (то что получаем плюсом к данном месте, невелируется большим на порядки выполнением прогонки всего бота дважды, из-за того, что, PipelineCI в некоторых сервисах, может выполняться по 20++ минут.)<br /><br />Есть схематическое опиисание предложенного решения - во вложении.&nbsp;<br /><br />&nbsp;&nbsp;<br /><br /><br /></p>";devops_support,devops_консультация
CRFLOMNIL-2522;КОПИЯ Проблемы при работе с SonarQube.;Критический;Закрыто;23.10.2025;23.10.2025;"<p>Наблюдается не корректная работа SonarQube.<br />При ПР Sonar не анализирует наличие тестов на новый код и проставляет апрув. Далее код вливается в мастер,&nbsp; девелоп или релиз ветку.<br />Проблему отсутствия тестов на новый код поймает следующий кто сделает ПР.<br />Опытным путем выяснил, &nbsp;что если запустить бота в ПР &nbsp; три раза - &nbsp; то на третий раз он сработает корректно.<br />Сейчас у меня есть ПР в котором 0 % покрытия тестами кода но тем не менее бот проставил апрув.<br />Ссылка на ПР &nbsp;https://sfera.inno.local/sourcecode/projects/CASF/repos/casf-cession-orchestrator/pulls/1435000<br />Данная проблема возникает на любом ИС и является массовой.<br /><br /></p>";devops_support,devops_консультация
CRFLOMNIU-1302;Необхоима помощь с деплоем сервиса на dev стенд;Критический;Закрыто;29.10.2025;23.10.2025;<p>Необходимо помощь с деплоем микросервиса ppcf-migr-processor-rncb на dev окружение<br />Так же помощь с пользованием сервисом на dev стенде<br /><br />При самостоятельном деплое пайплайн упал с ошибкой https://sfera.inno.local/orchestration7/dashboard/PPCF/project/e53c8f7d-ac45-4a21-90b5-e77d36c976eb/builds/1182862</p>;devops_support
